code;pairCode;name;guid;defaultCategory;categoryText;categoryText2;categoryText3;categoryText4;categoryText5;categoryText6;categoryText7;categoryText8;categoryText9;categoryText10;categoryText11;
"AT_ATO-K817";;"Pojistka trubičková 5x20 F 3,15A";"45c351e2-a417-11f1-b08d-bc2411e8af0e";"Náradie a dielňa > Elektronické súčiastky > Poistky, pojistkové držiaky > Poistky 5x20mm rychlé (F)";"Náradie a dielňa > Elektronické súčiastky > Poistky, pojistkové držiaky > Poistky 5x20mm rychlé (F)";;;;;;;;;;;
"AT_ATO-K807";;"Pojistka trubičková 5x20 F 400mA";"45cd041c-a417-11f1-8802-bc2411e8af0e";"Náradie a dielňa > Elektronické súčiastky > Poistky, pojistkové držiaky > Poistky 5x20mm rychlé (F)";"Náradie a dielňa > Elektronické súčiastky > Poistky, pojistkové držiaky > Poistky 5x20mm rychlé (F)";;;;;;;;;;;
"AT_ATO-K822";;"Pojistka trubičková 5x20 F 8A";"45d737ac-a417-11f1-824c-bc2411e8af0e";"Náradie a dielňa > Elektronické súčiastky > Poistky, pojistkové držiaky > Poistky 5x20mm rychlé (F)";"Náradie a dielňa > Elektronické súčiastky > Poistky, pojistkové držiaky > Poistky 5x20mm rychlé (F)";;;;;;;;;;;
"AT_ATO-K869";;"Pojistka trubičková 5x20 T 1,6A";"45e213a2-a417-11f1-afbc-bc2411e8af0e";"Náradie a dielňa > Elektronické súčiastky > Poistky, pojistkové držiaky > Poistky 5x20mm pomalé (T)";"Náradie a dielňa > Elektronické súčiastky > Poistky, pojistkové držiaky > Poistky 5x20mm pomalé (T)";;;;;;;;;;;
"AT_ATO-K864";;"Pojistka trubičková 5x20 T 315mA";"45ecf9b6-a417-11f1-8d9c-bc2411e8af0e";"Náradie a dielňa > Elektronické súčiastky > Poistky, pojistkové držiaky > Poistky 5x20mm pomalé (T)";"Náradie a dielňa > Elektronické súčiastky > Poistky, pojistkové držiaky > Poistky 5x20mm pomalé (T)";;;;;;;;;;;
"AT_ATO-K873";;"Pojistka trubičková 5x20 T 4A";"45f6c37e-a417-11f1-a4ea-bc2411e8af0e";"Náradie a dielňa > Elektronické súčiastky > Poistky, pojistkové držiaky > Poistky 5x20mm pomalé (T)";"Náradie a dielňa > Elektronické súčiastky > Poistky, pojistkové držiaky > Poistky 5x20mm pomalé (T)";;;;;;;;;;;
"AT_ATO-K865";;"Pojistka trubičková 5x20 T 500mA";"4600bcbc-a417-11f1-b2de-bc2411e8af0e";"Náradie a dielňa > Elektronické súčiastky > Poistky, pojistkové držiaky > Poistky 5x20mm pomalé (T)";"Náradie a dielňa > Elektronické súčiastky > Poistky, pojistkové držiaky > Poistky 5x20mm pomalé (T)";;;;;;;;;;;
"AT_ATO-K842";;"Pojistka trubičková 6x30 F 16A";"460a73ba-a417-11f1-8a48-bc2411e8af0e";"Náradie a dielňa > Elektronické súčiastky > Poistky, pojistkové držiaky > Poistky 6x30mm";"Náradie a dielňa > Elektronické súčiastky > Poistky, pojistkové držiaky > Poistky 6x30mm";;;;;;;;;;;
"AT_ATO-K830";;"Pojistka trubičková 6x30 F 1A";"46141b7c-a417-11f1-b7b9-bc2411e8af0e";"Náradie a dielňa > Elektronické súčiastky > Poistky, pojistkové držiaky > Poistky 6x30mm";"Náradie a dielňa > Elektronické súčiastky > Poistky, pojistkové držiaky > Poistky 6x30mm";;;;;;;;;;;
"AT_ATO-K730A";;"Pojistkový držák do DPS pro pojistky 5x20mm, rozteč vývodů 5mm";"461dec10-a417-11f1-be6c-bc2411e8af0e";"Náradie a dielňa > Elektronické súčiastky > Poistky, pojistkové držiaky";"Náradie a dielňa > Elektronické súčiastky > Poistky, pojistkové držiaky";;;;;;;;;;;
