id;parentId;parentUrl;expandInMenu;visible;priority;access;title;linkText;url;topDescription;bottomDescription;metaTitle;metaDescription
"39624";"39621";"digestory";"0";"0";"";"1";"Filtre do digestorov";"Filtre do digestorov";"filtre-do-digestorov";"";"";"Filtre do digestorov | PremiumStore.sk";"Filtre do digestorov: široký sortiment a rýchle dodanie. Nájdite si ten pravý produkt na PremiumStore.sk.";
"40146";"39621";"digestory";"0";"0";"";"1";"Závesné digestory";"Závesné digestory";"zavesne-digestory";"";"";"Závesné digestory | PremiumStore.sk";"Závesné digestory na PremiumStore.sk – overené produkty, výhodné ceny a odborné poradenstvo pri výbere.";
"40383";"39621";"digestory";"0";"0";"";"1";"Ostrovčekové digestory";"Ostrovčekové digestory";"ostrovcekove-digestory";"";"";"Ostrovčekové digestory | PremiumStore.sk";"Ostrovčekové digestory v ponuke PremiumStore.sk. Prehľadné parametre, rýchle dodanie po celom Slovensku.";
"40503";"39621";"digestory";"0";"0";"";"1";"Príslušenstvo k digestorom";"Príslušenstvo k digestorom";"prislusenstvo-k-digestorom";"";"";"Príslušenstvo k digestorom | PremiumStore.sk";"Príslušenstvo k digestorom: široký sortiment a rýchle dodanie. Nájdite si ten pravý produkt na PremiumStore.sk.";
"39633";"39630";"nadobie";"0";"0";"";"1";"Pekáče a zapekacie misy";"Pekáče a zapekacie misy";"pekace-a-zapekacie-misy";"";"";"Pekáče a zapekacie misy | PremiumStore.sk";"Pekáče a zapekacie misy – nakupujte výhodne na PremiumStore.sk. Overené produkty a jasný popis parametrov.";
"40080";"39630";"nadobie";"0";"0";"";"1";"Dózy na potraviny";"Dózy na potraviny";"dozy-na-potraviny";"";"";"Dózy na potraviny | PremiumStore.sk";"Dózy na potraviny skladom na PremiumStore.sk. Porovnajte parametre aj ceny a vyberte si presne to, čo potrebujete.";
"40329";"39630";"nadobie";"0";"0";"";"1";"Hrnčeky a šálky";"Hrnčeky a šálky";"hrnceky-a-salky";"";"";"Hrnčeky a šálky | PremiumStore.sk";"Hrnčeky a šálky na PremiumStore.sk – overené produkty, výhodné ceny a odborné poradenstvo pri výbere.";
"40617";"39630";"nadobie";"0";"0";"";"1";"Pokrievky";"Pokrievky";"pokrievky";"";"";"Pokrievky | PremiumStore.sk";"Pokrievky v ponuke PremiumStore.sk. Prehľadné parametre, rýchle dodanie po celom Slovensku.";
"40881";"39630";"nadobie";"0";"0";"";"1";"Misy a misky";"Misy a misky";"misy-a-misky";"";"";"Misy a misky | PremiumStore.sk";"Misy a misky v ponuke PremiumStore.sk. Prehľadné parametre, rýchle dodanie po celom Slovensku.";
"40095";"39639";"zehlicky";"0";"0";"";"1";"Šijacie stroje a príslušenstvo";"Šijacie stroje a príslušenstvo";"sijacie-stroje-a-prislusenstvo";"";"";"Šijacie stroje a príslušenstvo | PremiumStore.sk";"Šijacie stroje a príslušenstvo v ponuke PremiumStore.sk. Prehľadné parametre, rýchle dodanie po celom Slovensku.";
"40203";"39639";"zehlicky";"0";"0";"";"1";"Parné generátory";"Parné generátory";"parne-generatory";"";"";"Parné generátory | PremiumStore.sk";"Parné generátory na PremiumStore.sk – overené produkty, výhodné ceny a odborné poradenstvo pri výbere.";
"40692";"39639";"zehlicky";"0";"0";"";"1";"Domové alarmy a zvončeky";"Domové alarmy a zvončeky";"domove-alarmy-a-zvonceky";"";"";"Domové alarmy a zvončeky | PremiumStore.sk";"Domové alarmy a zvončeky – veľký výber skladom, rýchle dodanie a výhodné ceny na PremiumStore.sk.";
"40779";"39639";"zehlicky";"0";"0";"";"1";"Žehličky na suché žehlenie";"Žehličky na suché žehlenie";"zehlicky-na-suche-zehlenie";"";"";"Žehličky na suché žehlenie | PremiumStore.sk";"Žehličky na suché žehlenie skladom na PremiumStore.sk. Porovnajte parametre aj ceny a vyberte si presne to, čo potrebujete.";
"40809";"39639";"zehlicky";"0";"0";"";"1";"Cestovné žehličky";"Cestovné žehličky";"cestovne-zehlicky";"";"";"Cestovné žehličky | PremiumStore.sk";"Cestovné žehličky na PremiumStore.sk – overené produkty, výhodné ceny a odborné poradenstvo pri výbere.";
"40863";"39639";"zehlicky";"0";"0";"";"1";"Hodiny a budíky";"Hodiny a budíky";"hodiny-a-budiky";"";"";"Žehličky – Hodiny a budíky | PremiumStore.sk";"Žehličky – Hodiny a budíky: široký sortiment a rýchle dodanie. Nájdite si ten pravý produkt na PremiumStore.sk.";
"39693";"39651";"grily--pekarne--varice";"0";"0";"";"1";"Lávové a raclettové grily";"Lávové a raclettové grily";"lavove-a-raclettove-grily";"";"";"Lávové a raclettové grily | PremiumStore.sk";"Lávové a raclettové grily – veľký výber skladom, rýchle dodanie a výhodné ceny na PremiumStore.sk.";
"40317";"39651";"grily--pekarne--varice";"0";"0";"";"1";"Domáce pekárne";"Domáce pekárne";"domace-pekarne";"";"";"Domáce pekárne | PremiumStore.sk";"Domáce pekárne – nakupujte výhodne na PremiumStore.sk. Overené produkty a jasný popis parametrov.";
"46773";"39651";"grily--pekarne--varice";"0";"0";"";"1";"Varné platne";"Varné platne";"varne-platne";"";"";"Varné platne | PremiumStore.sk";"Varné platne na PremiumStore.sk – overené produkty, výhodné ceny a odborné poradenstvo pri výbere.";
"39678";"39660";"holiace-strojceky";"0";"0";"";"1";"Dámske holiace strojčeky a depilátory";"Dámske holiace strojčeky a depilátory";"damske-holiace-strojceky-a-depilatory";"";"";"Dámske holiace strojčeky a depilátory | PremiumStore.sk";"Dámske holiace strojčeky a depilátory v ponuke PremiumStore.sk. Prehľadné parametre, rýchle dodanie po celom Slovensku.";
"39681";"39660";"holiace-strojceky";"0";"0";"";"1";"Pánske holiace strojčeky";"Pánske holiace strojčeky";"panske-holiace-strojceky";"";"";"Pánske holiace strojčeky | PremiumStore.sk";"Pánske holiace strojčeky na PremiumStore.sk – overené produkty, výhodné ceny a odborné poradenstvo pri výbere.";
"40443";"39684";"vysavace";"0";"0";"";"1";"Viacúčelové vysávače";"Viacúčelové vysávače";"viacucelove-vysavace";"";"";"Viacúčelové vysávače | PremiumStore.sk";"Viacúčelové vysávače: široký sortiment a rýchle dodanie. Nájdite si ten pravý produkt na PremiumStore.sk.";
"46494";"39684";"vysavace";"0";"0";"";"1";"Ostatné";"Ostatné";"ostatne-22";"";"";"Vysávače – Ostatné | PremiumStore.sk";"Vysávače – Ostatné v ponuke PremiumStore.sk. Prehľadné parametre, rýchle dodanie po celom Slovensku.";
"47982";"39684";"vysavace";"0";"0";"";"1";"Ručné vysávače";"Ručné vysávače";"rucne-vysavace-2";"";"";"Vysávače – Ručné vysávače | PremiumStore.sk";"Vysávače – Ručné vysávače v ponuke PremiumStore.sk. Prehľadné parametre, rýchle dodanie po celom Slovensku.";
"47610";"39717";"elektroinstalacny-material";"0";"0";"";"1";"Predlžovacie káble a zásuvky";"Predlžovacie káble a zásuvky";"predlzovacie-kable-a-zasuvky";"";"";"Predlžovacie káble a zásuvky | PremiumStore.sk";"Predlžovacie káble a zásuvky – veľký výber skladom, rýchle dodanie a výhodné ceny na PremiumStore.sk.";
"47856";"39717";"elektroinstalacny-material";"0";"0";"";"1";"Elektromery";"Elektromery";"elektromery-2";"";"";"Elektroinštalačný materiál – Elektromery | PremiumStore.sk";"Elektroinštalačný materiál – Elektromery: široký sortiment a rýchle dodanie. Nájdite si ten pravý produkt na PremiumStore.sk.";
"40446";"39720";"osvetlenie";"0";"0";"";"1";"Zásuvky";"Zásuvky";"zasuvky";"";"";"Osvetlenie – Zásuvky | PremiumStore.sk";"Osvetlenie – Zásuvky skladom na PremiumStore.sk. Porovnajte parametre aj ceny a vyberte si presne to, čo potrebujete.";
"40530";"39720";"osvetlenie";"0";"0";"";"1";"Lampy a lampičky";"Lampy a lampičky";"lampy-a-lampicky";"";"";"Lampy a lampičky | PremiumStore.sk";"Lampy a lampičky – veľký výber skladom, rýchle dodanie a výhodné ceny na PremiumStore.sk.";
