id;parentId;depth;name;url;full_path
g18;g10;2;Súpravy;supravy-2;TV, audio, video a foto technika > Foto a príslušenstvo > Súpravy
nmtx2rgz1e15brg;nmtx2pijr74war9;1;Projektory;projektory-4;TV, audio, video a foto technika > Projektory
g7;nmtx2pijr74war9;1;Príslušenstvo k TV, audio a video technike;prislusenstvo-k-tv--audio--video;TV, audio, video a foto technika > Príslušenstvo k TV, audio a video technike
g5;nmtx2pijr74war9;1;TV stolíky a držiaky;tv-stoliky-a-drziaky;TV, audio, video a foto technika > TV stolíky a držiaky
nmtx2prr9xcxigb;nmtx2pijr74war9;1;Televízory;televizory;TV, audio, video a foto technika > Televízory
g6;nmtx2pijr74war9;1;Video technika;video-technika;TV, audio, video a foto technika > Video technika
nmtx30ta71jrk8b;;0;Zdravie a starostlivosť;zdravie-a-starostlivost;Zdravie a starostlivosť
g167;nmtx30ta71jrk8b;1;Chovateľské potreby;chovatelske-potreby;Zdravie a starostlivosť > Chovateľské potreby
g168;nmtx30ta71jrk8b;1;Holiace strojčeky a epilátory;holiace-strojceky;Zdravie a starostlivosť > Holiace strojčeky a epilátory
g169;nmtx30ta71jrk8b;1;Matka a dieťa;matka-a-dieta;Zdravie a starostlivosť > Matka a dieťa
g172;nmtx30ta71jrk8b;1;Monitorovanie dieťaťa;monitorovanie-dietata;Zdravie a starostlivosť > Monitorovanie dieťaťa
g166;nmtx30ta71jrk8b;1;Osobné váhy;osobne-vahy;Zdravie a starostlivosť > Osobné váhy
g170;nmtx30ta71jrk8b;1;Otoskopy a prístroje na čistenie pokožky;otoskopy;Zdravie a starostlivosť > Otoskopy a prístroje na čistenie pokožky
g173;nmtx30ta71jrk8b;1;Prístroje na tvár;pristroje-na-tvar;Zdravie a starostlivosť > Prístroje na tvár
g165;nmtx30ta71jrk8b;1;Starostlivosť o vlasy;starostlivost-o-vlasy;Zdravie a starostlivosť > Starostlivosť o vlasy
g171;nmtx30ta71jrk8b;1;Starostlivosť o zdravie;starostlivost-o-zdravie;Zdravie a starostlivosť > Starostlivosť o zdravie
g164;nmtx30ta71jrk8b;1;Starostlivosť o zuby;starostlivost-o-zuby;Zdravie a starostlivosť > Starostlivosť o zuby
