id;parentId;depth;is_leaf;visible;full_path;url;direct_products;subtree_products;empty
40014;39426;2;1;1;Domáce spotrebiče > Veľké spotrebiče > Vinotéky a vitríny;vinoteky-a-vitriny;20;20;0
40248;39426;2;0;1;Domáce spotrebiče > Veľké spotrebiče > Umývačky riadu;umyvacky-riadu;9;23;0
40533;39426;2;1;1;Domáce spotrebiče > Veľké spotrebiče > Sušičky;susicky;33;33;0
40827;39426;2;0;1;Domáce spotrebiče > Veľké spotrebiče > Vykurovanie a ohrev vody;vykurovanie-a-ohrev-vody;0;12;0
39435;39432;2;0;1;Domáce spotrebiče > Malé spotrebiče > Príprava nápojov;priprava-napojov;5;192;0
39483;39432;2;0;1;Domáce spotrebiče > Malé spotrebiče > Príslušenstvo k malým spotrebičom;prislusenstvo-k-malym-spotrebicom;26;225;0
39489;39432;2;0;1;Domáce spotrebiče > Malé spotrebiče > Kávovary a espressá;kavovary-a-espressa;37;224;0
39495;39432;2;0;1;Domáce spotrebiče > Malé spotrebiče > Sendvičovače, hriankovače, vaflovače;sendvicovace--hriankovace--vaflovace;0;68;0
39567;39432;2;0;1;Domáce spotrebiče > Malé spotrebiče > Fritézy a hrnce;fritezy-a-hrnce;18;150;0
39576;39432;2;0;1;Domáce spotrebiče > Malé spotrebiče > Vákuovačky a zváračky fólií;vakuovacky-a-zvaracky-folii;10;75;0
39597;39432;2;0;1;Domáce spotrebiče > Malé spotrebiče > Kuchynské roboty a krájače;kuchynske-roboty-a-krajace;7;181;0
39630;39432;2;0;1;Domáce spotrebiče > Malé spotrebiče > Nádobie;nadobie;0;126;0
39639;39432;2;0;1;Domáce spotrebiče > Malé spotrebiče > Žehličky;zehlicky;23;131;0
39651;39432;2;0;1;Domáce spotrebiče > Malé spotrebiče > Grily, pekárne, variče;grily--pekarne--varice;16;105;0
39684;39432;2;0;1;Domáce spotrebiče > Malé spotrebiče > Vysávače;vysavace;8;312;0
39735;39432;2;0;1;Domáce spotrebiče > Malé spotrebiče > Upratovacie pomôcky;upratovacie-pomocky;11;135;0
39819;39432;2;0;1;Domáce spotrebiče > Malé spotrebiče > Kuchynské potreby;kuchynske-potreby;35;117;0
39828;39432;2;1;1;Domáce spotrebiče > Malé spotrebiče > Na párty a oslavy;na-party-a-oslavy;9;9;0
40032;39432;2;0;1;Domáce spotrebiče > Malé spotrebiče > Vzduchotechnika;vzduchotechnika;35;208;0
40104;39432;2;0;1;Domáce spotrebiče > Malé spotrebiče > Potreby pre domácnosť;potreby-pre-domacnost;10;34;0
40179;39432;2;1;1;Domáce spotrebiče > Malé spotrebiče > Sušičky potravín;susicky-potravin;18;18;0
40305;39432;2;0;1;Domáce spotrebiče > Malé spotrebiče > Meteostanice;meteostanice;37;147;0
40494;39432;2;1;1;Domáce spotrebiče > Malé spotrebiče > Ostatné domáce spotrebiče;ostatne-domace-spotrebice;14;14;0
41301;39432;2;0;1;Domáce spotrebiče > Malé spotrebiče > Ostatné spotrebiče;ostatne-spotrebice;0;0;1
46215;39432;2;0;1;Domáce spotrebiče > Malé spotrebiče > Kuchynské príslušenstvo;kuchynske-prislusenstvo;7;31;0
46551;39432;2;1;0;Domáce spotrebiče > Malé spotrebiče > Čistenie;cistenie;0;0;1
46593;39432;2;1;1;Domáce spotrebiče > Malé spotrebiče > Teplomery;teplomery-3;10;10;0
46746;39432;2;1;1;Domáce spotrebiče > Malé spotrebiče > Pre dieťa;pre-dieta;0;0;1
46755;39432;2;1;1;Domáce spotrebiče > Malé spotrebiče > Mini chladničky;mini-chladnicky;0;0;1
47775;39432;2;0;1;Domáce spotrebiče > Malé spotrebiče > Dezinfekčné lampy;dezinfekcne-lampy;0;0;1
47826;39432;2;1;1;Domáce spotrebiče > Malé spotrebiče > Vybavenie domácnosti;vybavenie-domacnosti;12;12;0
47958;39432;2;0;1;Domáce spotrebiče > Malé spotrebiče > Hodiny a budíky;hodiny-a-budiky-3;0;59;0
48117;39432;2;1;1;Domáce spotrebiče > Malé spotrebiče > Płyty gazowe;plyty-gazowe;0;0;1
48270;39432;2;1;1;Domáce spotrebiče > Malé spotrebiče > Kuchynské nádobie;kuchynske-nadobie;122;122;0
48411;39432;2;1;1;Domáce spotrebiče > Malé spotrebiče > Čistiace prístroje a doplnky;cistiace-pristroje-a-doplnky;8;8;0
39438;39435;3;1;1;Domáce spotrebiče > Malé spotrebiče > Príprava nápojov > Rýchlovarné kanvice;rychlovarne-kanvice;85;85;0
39726;39435;3;1;1;Domáce spotrebiče > Malé spotrebiče > Príprava nápojov > Odšťavovače;odstavovace;12;12;0
39756;39435;3;1;1;Domáce spotrebiče > Malé spotrebiče > Príprava nápojov > Príslušenstvo pre filtračné kanvice;prislusenstvo-pre-filtracne-kanvice;24;24;0
39780;39435;3;1;1;Domáce spotrebiče > Malé spotrebiče > Príprava nápojov > Filtračné kanvice;filtracne-kanvice;38;38;0
39945;39435;3;1;1;Domáce spotrebiče > Malé spotrebiče > Príprava nápojov > Výrobníky ľadu;vyrobniky-ladu;12;12;0
39948;39435;3;1;1;Domáce spotrebiče > Malé spotrebiče > Príprava nápojov > Sirupy a fľaše pre výrobníky sódy;sirupy-a-flase-pre-vyrobniky-sody;0;0;1
39981;39435;3;1;1;Domáce spotrebiče > Malé spotrebiče > Príprava nápojov > Výrobníky sódy;vyrobniky-sody;8;8;0
40707;39435;3;1;1;Domáce spotrebiče > Malé spotrebiče > Príprava nápojov > Čajová sitká;cajova-sitka;0;0;1
40797;39435;3;1;1;Domáce spotrebiče > Malé spotrebiče > Príprava nápojov > Lisy na citrusy;lisy-na-citrusy;8;8;0
