ean;stara_url;stary_nazov;novy_dodavatel;novy_nazov;nova_url;stav
8592718012717;https://premiumstore.sk/solight-prepojovaci-konektor-pre-led-pasy-8mm-zacvakavacie-balenie-1ks-sacok#21671;Solight prepojovací konektor pre LED pásy, 8mm, zacvakávacie, balenie 1ks, sáčok;solight;Solight prepojovací konektor pre LED pásy, 8mm, zacvakávacie, balenie 1ks, sáčok;https://www.premiumstore.sk/solight-prepojovaci-konektor-pre-led-pasy--8mm--zacvakavacie--balenie-1ks--sacok/;OK
8592718025694;https://premiumstore.sk/solight-hlinikovy-biely-ram-pre-instalaciu-led-panelov-s-rozmerom-295x1195mm-na-stropy-a-steny-vyska-68mm-bezskrutkovy#21670;Solight hliníkový biely rám pre inštaláciu LED panelov s rozmerom 295x1195mm na stropy a steny, výška 68mm, bezskrutkový;solight;Solight hliníkový biely rám pre inštaláciu LED panelov s rozmerom 295x1195mm na stropy a steny, výška 68mm, bezskrutkový;https://www.premiumstore.sk/solight-hlinikovy-biely-ram-pre-instalaciu-led-panelov-s-rozmerom-295x1195mm-na-stropy-a-steny--vyska-68mm--bezskrutkovy/;OK
8592718024567;https://premiumstore.sk/solight-led-vonkajsie-osvetlenie-gulate-13w-910lm-4000k-ip54-17cm#21668;Solight LED vonkajšie osvetlenie guľaté, 13W, 910lm, 4000K, IP54, 17cm;solight;Solight LED vonkajšie osvetlenie guľaté, 13W, 910lm, 4000K, IP54, 17cm;https://www.premiumstore.sk/solight-led-vonkajsie-osvetlenie-gulate--13w--910lm--4000k--ip54--17cm/;OK
8592718012793;https://premiumstore.sk/solight-napajaci-konektor-pre-led-pasy-5-5-mm-zdierka-8mm-zacvakavaci-konektor-balenie-1ks-sacok#21665;Solight napájací konektor pre LED pásy, 5,5 mm zdierka - 8mm zacvakávací konektor, balenie 1ks, sáčok;solight;Solight napájací konektor pre LED pásy, 5,5 mm zdierka - 8mm zacvakávací konektor, balenie 1ks, sáčok;https://www.premiumstore.sk/solight-napajaci-konektor-pre-led-pasy--5-5-mm-zdierka-8mm-zacvakavaci-konektor--balenie-1ks--sacok/;OK
8592718011864;https://premiumstore.sk/solight-led-vianocna-retaz-3m-20xled-3x-aa-modre-svetlo-zeleny-kabel#21664;Solight LED vianočná reťaz, 3m, 20xLED, 3x AA, modré svetlo, zelený kábel;solight;Solight LED vianočná reťaz, 3m, 20xLED, 3x AA, modré svetlo, zelený kábel;https://www.premiumstore.sk/solight-led-vianocna-retaz--3m--20xled--3x-aa--modre-svetlo--zeleny-kabel/;OK
8592718016913;https://premiumstore.sk/solight-led-svetelny-pas-5m-smd5050-60led-m-14-4w-m-ip65-tepla-biela#21663;Solight LED svetelný pás, 5m, SMD5050 60LED/m, 14,4W/m, IP65, teplá biela;solight;Solight LED svetelný pás, 5m, SMD5050 60LED/m, 14,4W/m, IP65, teplá biela;https://www.premiumstore.sk/solight-led-svetelny-pas--5m--smd5050-60led-m--14-4w-m--ip65--tepla-biela/;OK
8592718020538;https://premiumstore.sk/solight-led-vonkajsia-vanocna-retaz-200-led-20m-privod-5m-8-funkcii-casovac-ip44-tepla-biela#21661;Solight LED vonkajšia vánočná reťaz, 200 LED, 20m, prívod 5m, 8 funkcií, časovač, IP44, teplá biela;solight;Solight LED vonkajšia vánočná reťaz, 200 LED, 20m, prívod 5m, 8 funkcií, časovač, IP44, teplá biela;https://www.premiumstore.sk/solight-led-vonkajsia-vanocna-retaz--200-led--20m--privod-5m--8-funkcii--casovac--ip44--tepla-biela/;OK
8592718000356;https://premiumstore.sk/solight-bezdrotovy-zvoncek-do-zasuvky-120m-cierny-3#21658;Solight bezdrôtový zvonček, do zásuvky, 120m, čierny;solight;Solight bezdrôtový zvonček, do zásuvky, 120m, čierny;https://www.premiumstore.sk/solight-bezdrotovy-zvoncek--do-zasuvky--120m--cierny/;OK
8592718024536;https://premiumstore.sk/solight-montazna-lampa-e27-ac-230v-5m-oranzova-s-kovovou-mriezkou#21655;Solight montážna lampa, E27, AC 230V, 5m, oranžová s kovovou mriežkou;solight;Solight montážna lampa, E27, AC 230V, 5m, oranžová s kovovou mriežkou;https://www.premiumstore.sk/solight-montazna-lampa--e27--ac-230v--5m--oranzova-s-kovovou-mriezkou/;OK
8592718022518;https://premiumstore.sk/solight-pridavna-zasuvka-pre-gsm-zasuvku#21653;Solight prídavná zásuvka pre GSM zásuvku;solight;Solight prídavná zásuvka pre GSM zásuvku;https://www.premiumstore.sk/solight-pridavna-zasuvka-pre-gsm-zasuvku/;OK
