old_url;new_url;match_type;old_full_path;new_full_path;old_id
/elektricke-deky/;/zdravie-a-starostlivost/;ancestor(-1);Zdravie a starostlivosť > Elektrické deky;Zdravie a starostlivosť;39810
/elektricke-manikury-a-pedikury/;/zdravie-a-starostlivost/;ancestor(-1);Zdravie a starostlivosť > Elektrické manikúry a pedikúry;Zdravie a starostlivosť;39996
/stop-koronavirusu/;/zdravie-a-starostlivost/;ancestor(-1);Zdravie a starostlivosť > Stop koronavírusu;Zdravie a starostlivosť;40281
/parfumy-a-kozmetika/;/zdravie-a-starostlivost/;ancestor(-1);Zdravie a starostlivosť > Parfumy a kozmetika;Zdravie a starostlivosť;40371
/cistenie-pleti/;/zdravie-a-starostlivost/;ancestor(-1);Zdravie a starostlivosť > Čistenie pleti;Zdravie a starostlivosť;40452
/masazne-pristroje/;/zdravie-a-starostlivost/;ancestor(-1);Zdravie a starostlivosť > Masážne prístroje;Zdravie a starostlivosť;40461
/holiace-strojceky-a-zastrihavace/;/zdravie-a-starostlivost/;ancestor(-1);Zdravie a starostlivosť > Holiace strojčeky a zastrihávače;Zdravie a starostlivosť;45972
/starostlivost-o-plet/;/zdravie-a-starostlivost/;ancestor(-1);Zdravie a starostlivosť > Starostlivosť o pleť;Zdravie a starostlivosť;45978
/sonicke-zubne-kefky/;/zdravie-a-starostlivost/;ancestor(-1);Zdravie a starostlivosť > Sonické zubné kefky;Zdravie a starostlivosť;46080
/osobna-starostlivost/;/zdravie-a-starostlivost/;ancestor(-1);Zdravie a starostlivosť > Osobná starostlivosť;Zdravie a starostlivosť;46086
/predlzovanie-rias/;/zdravie-a-starostlivost/;ancestor(-1);Zdravie a starostlivosť > Predlžovanie rias;Zdravie a starostlivosť;46260
/ustne-sprchy-2/;/zdravie-a-starostlivost/;ancestor(-1);Zdravie a starostlivosť > Ústne sprchy;Zdravie a starostlivosť;46329
/erotika/;/zdravie-a-starostlivost/;ancestor(-1);Zdravie a starostlivosť > Erotika;Zdravie a starostlivosť;46506
/vahy/;/zdravie-a-starostlivost/;ancestor(-1);Zdravie a starostlivosť > Váhy;Zdravie a starostlivosť;46740
/elektricke-zubne-kefky/;/starostlivost-o-zuby/;exact;Zdravie a starostlivosť > Starostlivosť o zuby > Elektrické zubné kefky;Zdravie a starostlivosť > Starostlivosť o zuby;39588
/prislusenstvo-k-zubnym-kefkam/;/starostlivost-o-zuby/;exact;Zdravie a starostlivosť > Starostlivosť o zuby > Príslušenstvo k zubným kefkám;Zdravie a starostlivosť > Starostlivosť o zuby;39873
/ustne-sprchy/;/starostlivost-o-zuby/;exact;Zdravie a starostlivosť > Starostlivosť o zuby > Ústne sprchy;Zdravie a starostlivosť > Starostlivosť o zuby;40260
/zubne-kefky/;/starostlivost-o-zuby/;exact;Zdravie a starostlivosť > Starostlivosť o zuby > Zubné kefky;Zdravie a starostlivosť > Starostlivosť o zuby;40602
/feny-na-vlasy/;/starostlivost-o-vlasy/;exact;Zdravie a starostlivosť > Starostlivosť o vlasy > Fény na vlasy;Zdravie a starostlivosť > Starostlivosť o vlasy;39594
/zastrihavace/;/starostlivost-o-vlasy/;exact;Zdravie a starostlivosť > Starostlivosť o vlasy > Zastrihávače;Zdravie a starostlivosť > Starostlivosť o vlasy;39645
/kulmy-na-vlasy/;/starostlivost-o-vlasy/;exact;Zdravie a starostlivosť > Starostlivosť o vlasy > Kulmy na vlasy;Zdravie a starostlivosť > Starostlivosť o vlasy;39648
/zehlicky-na-vlasy--krepovaci-klieste/;/starostlivost-o-vlasy/;exact;Zdravie a starostlivosť > Starostlivosť o vlasy > Žehličky na vlasy, krepovací kliešte;Zdravie a starostlivosť > Starostlivosť o vlasy;39711
