ean;stara_url;stary_nazov;stara_kategoria;najdena_kategoria;cesta_kategorie;nova_url_kategorie;skore;pocet_zhod;istota
Dabman 280CDBK;https://premiumstore.sk/radio-imperial-dabman-280-cdbk-s-funkci-asa#73980;Rádio Imperial Dabman 280 CDBK s funkcí ASA;;;;;0.00;0;ZIADNA
B50434;https://premiumstore.sk/nabijecka-baterii-gp-recyko-b423-4-aa-gp-recyko-2100-mah#73944;Nabíječka baterií GP ReCyko B423 4× AA GP ReCyko 2100 mAh;;Ochrana batérií;Fotovoltaika a energie > Nabíjačky > Ochrana batérií;ochrana-baterii;6.88;1;NIZKA
ZE0306;https://premiumstore.sk/zarovka-halogenova-emos-ze0306-jc-42w-g9-tepla-bila-300-c#73941;Žárovka halogenová EMOS ZE0306 / JC 42W G9 teplá bílá 300°C;;;;;0.00;0;ZIADNA
ZE0305;https://premiumstore.sk/zarovka-halogenova-emos-ze0305-jc-30w-g9-tepla-bila-300-c#73940;Žárovka halogenová EMOS ZE0305 / JC 30W G9 teplá bílá 300°C;;;;;0.00;0;ZIADNA
ZE0304;https://premiumstore.sk/zarovka-halogenova-emos-ze0304-jc-25w-g9-tepla-bila-300-c#73939;Žárovka halogenová EMOS ZE0304 / JC 25W G9 teplá bílá 300°C;;;;;0.00;0;ZIADNA
ZE0505A;https://premiumstore.sk/zarovka-halogenova-emos-ze0505a-jc-14w-g4-tepla-bila-300-c#73938;Žárovka halogenová EMOS ZE0505A / JC 14W G4 teplá bílá 300°C;;;;;0.00;0;ZIADNA
GS22111;https://premiumstore.sk/pir-senzor-pohybove-cidlo-emos-gs22111-ip20-1200w-bily#73922;PIR senzor (pohybové čidlo) EMOS GS22111, IP20 1200W, bílý;;PIR čidlá;Bezpečnosť a smart domácnosť > Zabezpečenie > PIR čidlá;pir-cidla;8.27;1;NIZKA
GS11111;https://premiumstore.sk/pir-senzor-pohybove-cidlo-emos-gs11111-ip20-1200w-bily#73921;PIR senzor (pohybové čidlo) EMOS GS11111, IP20, 1200W, bílý;;PIR čidlá;Bezpečnosť a smart domácnosť > Zabezpečenie > PIR čidlá;pir-cidla;8.27;1;NIZKA
ZS2344W;https://premiumstore.sk/led-reflektor-glaro-emos-zs2344w-s-pohybovym-cidlem-50-w-bily-ip54-5000-lm-neutralni-bila#73862;LED reflektor GLARO EMOS ZS2344W s pohybovým čidlem, 50 W, bílý, IP54, 5000 lm, neutrální bílá;;LED Žiarovky;Elektroinštalačný materiál > Osvetlenie > LED Žiarovky;led-ziarovky;4.93;1;NIZKA
ZS2344B;https://premiumstore.sk/led-reflektor-glaro-emos-zs2344b-s-pohybovym-cidlem-50-w-cerny-ip54-5000-lm-neutralni-bila#73861;LED reflektor GLARO EMOS ZS2344B s pohybovým čidlem, 50 W, černý, IP54, 5000 lm, neutrální bílá;;LED Žiarovky;Elektroinštalačný materiál > Osvetlenie > LED Žiarovky;led-ziarovky;4.93;1;NIZKA
