"importProduktId","shopName","CATEGORYTEXT","shopId","PRODUCT","PRODUCTNAME","ITEM_ID","URL","PRICE_VAT","EAN","suggestEan","suggestProductName","suggestCategoryTree","suggestPriceMin","suggestPriceMax","suggestProductUrl"
"2517582716","Premiumstore.sk","TV, audio a video | Audio technika | Príslušenstvo k audio technike","4603","Bose Pro BOSE ControlCenter CC-3D nástenný ovládač","","BAS_BASYS-B_808930-2110","https://www.premiumstore.sk/bose-controlcenter-cc-3d-nastenny-ovladac-2/","320","","","","","","",""
"2514058541","Premiumstore.sk","Heureka.sk | Elektronika | TV, audio, video | Príslušenstvo k TV, audio-video | Príslušenstvo k TV | 3D okuliare","4603","Nabíjací adaptér USB-C pre okuliare RayNeo AR","","083452","https://www.premiumstore.sk/nabijaci-adapter-usb-c-pre-okuliare-rayneo-ar/","32","6976972040181","","","","","",""
"2514062901","Premiumstore.sk","Heureka.sk | Bývanie a doplnky | Osvetlenie a svietidlá | LED osvetlenie","4603","Solight high bay, 240W, 33600lm, 120°, Philips, MW, 5000K, UGR","","SOL_WPH-240W-002","https://www.premiumstore.sk/solight-high-bay--240w--33600lm--120--philips--mw--5000k--ugr/","119.9","8592718025922","8592718025922","Solight high bay, 240W, 33600lm, 120°, Philips, MW, 5000K, UGR","Dielňa, stavba, záhrada | Záhrada | Záhradné osvetlenie | Záhradné lampy","144.73","316.73","zahradne-lampy.heureka.sk/solight-high-bay-240w-33600lm-120-philips-mw-5000k-ugr"
"2514058362","Premiumstore.sk","Heureka.sk | Auto-moto | Elektromobilita a jej príslušenstvo | Príslušenstvo pre elektromobily | Nabíjačky pre elektromobily","4603","Prenosná nabíjačka Besen BN70-BC-11KW-APP","","082870","https://www.premiumstore.sk/prenosna-nabijacka-besen-bn70-bc-11kw-app/","265.9","5905156101234","5905156101234","Prenosná nabíjačka Besen pre elektromobily 11 kW s aplikáciou","Auto-moto | Všetko pre autá | Autodoplnky | Autonavijaky","307","307","autonavijaky.heureka.sk/prenosna-nabijacka-besen-pre-elektromobily-11-kw-s-aplikaciou"
"2517618758","Premiumstore.sk","Heureka.sk | Šport a outdoor | Športy | Ostatné športy | Bojové športy | Nože a meče na bojové športy | Nože pre bojové športy","4603","HMS Premium TKO07 6,5 kg","","AT_ABL-17-62-218","https://www.premiumstore.sk/takticka-zatezova-vesta-hms-premium-tko07-6-5-kg/","91.5","5907695563115","5907695563115","HMS Premium TKO07 6,5 kg","Šport a outdoor | Športy | Fitness | Pomôcky na cvičenie | Záťaže na telo | Záťažové vesty","77.79","134.95","zatazove-vesty.heureka.sk/hms-premium-tko07-6_5-kg"
"2514057435","Premiumstore.sk","Heureka.sk | Elektronika | Foto, kamery, optika | Foto a kamery | Športové kamery","4603","Kovové puzdro Telesin pre GoPro Hero 13","","078415","https://www.premiumstore.sk/kovove-puzdro-telesin-pre-gopro-hero-13/","31.5","6974944464027","","","","","",""
"2527952151","Premiumstore.sk","Heureka.sk | Dielňa, stavba, záhrada | Stavba | Fotovoltaika | Fotovoltaické a solárne panely","4603","Solární panel TESLA Solar Panel 8W","","AT_ATO-SOLTE0001","https://www.premiumstore.sk/solarni-panel-tesla-solar-panel-8w/","32","8595689813635","","","","","",""
"2514039873","Premiumstore.sk","Bezpečnosť a smart domácnosť | Riadiace jednotky | Smart centrály","4603","Ústredňa inteligentnej domácnosti Smart ZigBee Bridge Pro Sonoff ZB Bridge-P","","035190","https://www.premiumstore.sk/ustredna-inteligentnej-domacnosti-smart-zigbee-bridge-pro-sonoff-zb-bridge-p/","17.5","6920075777123","6920075777123","Sonoff ZigBee Bridge","Elektronika | Inteligentná domácnosť | Centrálne jednotky","18.19","40.64","centralne-jednotky.heureka.sk/sonoff-zigbee-bridge"
"2514080909","Premiumstore.sk","Bezpečnosť a smart domácnosť | Kamerové systémy | PRÍSLUŠENSTVO | Držiaky","4603","CP PLUS CP-PR-44 Přídavná montážní propojovací krabice (134mm)","","AT_CP-PR-44","https://www.premiumstore.sk/cp-plus-cp-pr-44-pridavna-montazni-propojovaci-krabice--134mm-/","30.5","","","","","","",""
"2521562474","Premiumstore.sk","Heureka.sk | Šport a outdoor | Športy | Cyklistika | Kolobežky a príslušenstvo | Kolobežky","4603","Koloběžka NILS Extreme HC151 s pumpovanými koly","","AT_ABL-16-50-069","https://www.premiumstore.sk/kolobezka-nils-extreme-hc151-s-pumpovanymi-koly/","85.5","5905504100162","","","","","",""
"2517583091","Premiumstore.sk","TV, audio a video | Audio technika | Príslušenstvo k audio technike","4603","Bose Pro BOSE S1 PRO+ Priezvučný obal, čierny","","BAS_BASYS-B_869725-0010","https://www.premiumstore.sk/bose-s1-pro--priezvucny-obal--cierny/","80","","","","","","",""
"2514085417","Premiumstore.sk","Heureka.sk | Elektronika | Počítače a notebooky | Záložné zdroje | UPS","4603","Dospel Hybridní turbína VIVI 25 W + akumulátor 7,5 Ah 12 V s regulátorem, černá barva","","AT_D-012-9784_C","https://www.premiumstore.sk/hybridni-turbina-vivi-25-w-akumulator-7-5-ah-12-v-s-regulatorem--cerna-barva/","645.9","5901560529374","","","","","",""
"2514062240","Premiumstore.sk","Profesionálna audio technika | Pódium, diskotéka, DJ | Audio procesory","4603","Monacor DRM-882WPX Nástenné diaľkové ovládanie","","MON_DRM-882WPX","https://www.premiumstore.sk/monacor-drm-882wpx-nastenne-dialkove-ovladanie/","212","4007754273212","","","","","",""
"2514056298","Premiumstore.sk","Heureka.sk | Chovateľské potreby | Pre mačky | Mačacie toalety a podstielky | Toalety pre mačky","4603","Inteligentná samočistiaca búda PetKit Purobot ULTRA s AI kamerou pre mačky","","071141","https://www.premiumstore.sk/inteligentna-samocistiaca-buda-petkit-purobot-ultra-s-ai-kamerou-pre-macky/","895.5","6975069305523","","","","","",""
